KID,Name,Quality,Redshift,INC,Re,Re_err,Mag_H,sigma,sigma_err,Ve,Ve_err,Vopt,Vopt_err,Vout,Vout_err,Mstar,Mstar_err,Mgas,Mgas_err,MH2,MH2_err,MHI,MHI_err,Rot_Disp_ratio_int
332,S-CFHIZELS-SM14-139428,2,0.807658416279076,72.9889446065206,3.7371938,1.7227613,-21.02,22.2118974917321,4.68682625695619,254.550697572064,81.1329805087384,253.952982512171,27.8862787971905,237.042141173533,22.6030723244317,3917692578.25506,1805388284.91017,113037906158.272,87105737412.8606,2090509772.48238,1331568895.24431,83419095026.9092,87095559097.55353,10.4981575791442
333,S-CFHIZELS-SM14-145965,1,0.819211656706864,60.8642082661409,4.7825093,2.869506,-22.12,66.8306561644733,2.91158214841169,189.017093686348,15.0390732539823,204.804221449515,10.3037861385165,200.518934301476,10.7197301008644,10790225303.8925,4972454057.09332,69311677343.1968,105928091835.69032,2875227908.19842,3717422770.4837165,49952217620.2995,105862842432.53595,2.89730807854812
334,S-CFHIZELS-SM14-148830,2,0.813597441853921,41.8173038031045,2.1080093,0.9717443,-22.25,63.0089022267509,2.36452847227022,128.984486999565,40.522288714704,148.155383873,9.74182302661233,155.653973170686,13.7316433021044,12162705134.4898,5604933241.70037,70033515066.5582,110178235386.90192,3153079897.6447,4211596143.548373,50286041480.3861,110097711197.35057,2.16413996941487
336,S-CFHIZELS-SM14-159913,1,0.817644399892333,53,2.9499652,1.7699791,-20.58,28.6619953758179,2.74681149642026,124.338567874893,55.2816112676504,128.009162584917,20.4005873363017,135.58166208748,12.6072779764568,2612342630.12998,1203844530.01382,146718711453.067,78805746168.14873,2007850958.02447,887142233.15664,108805158266.949,78800752583.8227,4.4540987175654
337,S-CFHIZELS-SM14-164290,2,0.816475811844697,36.7646393909787,2.7790155,0,-22.02,44.9386269562085,3.67564471961425,110.782852328464,39.9002999142988,98.3147372886329,11.2704281102007,59.822403714999,9.05873117982606,9840798965.20449,4534930398.71175,65342077506.7296,103735379654.19952,2513428545.51867,3365422521.031095,47239585685.121,103680774125.46576,1.03699207466689
338,S-CFHIZELS-SM14-172833,2,0.804706513344823,54.7054100973362,5.205981,3.1235888,-21.34,54.0914465647094,4.40283250859798,335.2331765653,21.635698122437,264.76505101369,27.3033845134237,265.427853848867,29.5823873675677,5260538867.07597,2424211459.48201,55623734859.0781,90181012448.24583,1289050290.6669,1735641042.582087,40853146292.0385,90164308661.2545,4.88300862288872
341,S-CFHIZELS-SM14-195038,2,0.809220421806615,64.106874943933,1.0588971,0.48812744,-21.24,22.9096561358021,2.92171611408066,163.230856109504,64.7645074249555,162.656501438167,54.6917618887062,161.347674320747,34.2017866281642,4797666775.39756,2210906348.10947,58719297423.0303,87777938682.64215,1276464075.94396,1582413876.862306,43190100260.9671,87763674066.75725,6.90298859048331
345,S-CFHIZELS-SM14-216212,2,0.811673943596318,53,2.7626717,0,-20.34,21.1074205562088,3.60740285762115,37.421337119408,15.6373698619424,71.652439616011,10.7755974955592,76.774896027786,12.0025206360197,2094258215.21572,965095951.712313,125658432484.623,74803591686.4,1428698713.24927,697993190.8690507,93405814865.6942,74800335124.19012,1.51882879332755
346,S-CFHIZELS-SM14-228100,1,0.816892455225771,53,2.1381419,1.2828851,-20.26,39.3631742662518,3.20002882235171,94.2861806162,34.0014919264288,101.682001483385,10.4840202668065,112.366125990101,10.1719335192062,1945495621.74572,896541761.173143,167211019620.647,74047568564.75452,1810400079.91406,657602790.0679603,124361368075.739,74044648482.67238,1.00333816558598
358,S-CFHIZELS-SM14-85179,2,0.81539152484322,34.4712303109934,1.0667754,0.49175918,-22.43,46.4069722615907,1.93278466863691,220.884904710372,62.7007717653784,218.395023185237,52.6510848398026,215.111676944167,32.4514170121509,14355895926.1661,6615620242.47286,71895791475.5993,114494398300.11884,3683942602.94518,5012486620.070248,51287104415.5294,114384624054.06537,3.53425350030868
359,S-CFHIZELS-SM14-85797,2,0.818791327215221,42.9276450366583,1.0714458,0.4939121,-23.4,39.5559982287646,1.93585666099684,196.187825026209,75.8216540964368,192.941280145307,62.8277458893944,188.666659743778,39.7681296718013,35077613000.341,16164798617.6687,44085883964.6478,137320569406.98405,4406549768.23558,12323850369.15705,29834085861.9641,136766448715.81975,4.75932371075187
363,S-CFHT-NBJ-2048,1,0.815117006390714,53,2.6084435,1.5650661,-19.87,18.4501851136903,3.45461788121357,124.838321522903,44.544435638253,110.102232280243,15.8299262752898,95.6089904651212,10.4452345388479,1358408841.45771,625994857.814613,139256510888.191,67366014616.49636,1130606790.91423,447404426.21103215,103854063231.035,67364528904.976456,2.34334063820776
364,S-CFHT-NBJ-956,2,0.808736768238226,64.3962937959766,3.7420652,1.7250068,-21.68,28.5313463400556,1.83773252179833,78.1086032561739,7.93383894046625,126.296158686746,8.91508544138663,162.994914082809,11.3711090560707,7194991691.41558,3315664373.92423,52220373897.8764,96219905867.16963,1555592751.34318,2396362312.3554616,38093820410.9272,96190060467.57071,5.04868520909627
367,S-NBJ-CFHT-1713,2,0.761876154587984,69.3174613920139,2.7834086,1.283088,-22.07,40.7204741147275,3.25928837937161,126.787678080823,46.6710672296656,159.175937914794,18.6530960440214,206.383215795066,10.1046401686954,10304574298.2096,4748651750.32701,50478015343.9322,113859497817.67314,1825876987.08472,3465533721.864326,36580555155.5244,113806745491.27278,4.42295289720566
371,S-NBJ-CFHT-1739,2,0.803848965861688,40.6103801253445,2.082567,0.960016,-23.12,25.5408985645908,2.35305022270805,183.690704624123,53.7897561185647,175.539049265501,6.20444158313305,189.182667513601,13.9511363782822,27103820905.7648,12490240048.7395,51007566984.3099,133530716323.13223,4122374790.88412,9502176496.428835,35252024205.5833,133192195130.19345,7.15093334413958
373,S-NBJ-CFHT-1745,1,0.817216931756771,49.861721852877,2.1171663,0.9759654,-21.28,68.1786345681611,2.45054802092685,160.198601161413,50.0281780217538,176.443649499351,7.20918054194513,216.670556656015,6.49757297554487,4977719809.20375,2293880096.40726,103185780026.971,90274302581.48921,2341766700.53247,1700642830.0813537,75822566410.856,90258282282.23027,2.40871709780914
374,S-NBJ-CFHT-1759,2,0.803153783509892,27.0985139121146,3.1302242,1.8781346,-22.88,32.1975691210881,2.97009494508818,306.016035861871,99.356435459055,323.577946800426,22.1069186590836,339.176508036997,21.2493861393749,21728504991.9023,10013135940.9688,76854292930.5028,129816222728.7127,5267354974.22564,7736556390.578337,53824765380.6595,129585482901.31169,10.4590659002146
375,S-NBJ-CFHT-1770,1,0.772521048986929,62.1950304836486,2.0013447,0.9225744,-21.38,51.0453482611391,2.91752886295179,126.298748929521,56.5450863873593,145.442612082852,46.4631663161181,149.832784422979,13.2474326061111,5457953574.25342,2515185978.91863,108747332934.402,100228091105.87427,2447567021.8034,1872183909.0740626,79924636024.5105,100210604100.25497,2.22903373986687
376,S-NBJ-CFHT-1774,1,0.812180396215924,53,2.7643955,0,-21.46,16.4145689061045,3.50716669004997,146.656515083517,59.0075372458237,138.942987621119,22.7610916198324,125.781570146164,16.7161440216482,5875296753.88813,2707510024.83324,107604728195.071,95029378826.31218,2754759282.676,2025382813.94659,78834563092.0263,95007792651.82262,7.28618517480839
377,S-NBJ-CFHT-1787,1,0.813092849825738,66.0975232513393,3.762009,1.7342005,-22.69,30.2834088462468,1.83864369727138,159.26497948426,5.03277395444642,189.414363921706,9.81803527148174,183.557103842058,14.3981715872799,18240233531.1293,8405637571.94899,49923248955.1265,119217364544.7122,3053050896.8687,6292215286.154833,35240750419.7427,119051199220.24928,5.97098723732121
380,S-NBJ-CFHT-1793,2,0.815569883994844,74.2958439204243,4.528201,2.0873976,-21.72,45.8043919751877,3.76360955754229,139.946829550136,50.2736570806607,153.336985266692,14.166661152048,166.568300031495,11.935117752001,7465001516.2255,3440092864.62005,71968027430.3471,97749513391.04468,2232779630.43333,2538599281.725255,52432517142.7923,97716543542.39536,2.03155190992181
