# slope intercept sigma lnLike
3.225312720232365926e+00 3.222699345698180284e+00 4.067188780257142977e-02 -2.045482859123113073e+01
3.207458448280481100e+00 3.261764761429152504e+00 1.292852925653308338e-01 -1.842717548323976828e+01
3.524229371887513729e+00 2.585420255787522770e+00 9.407555638642776941e-02 -2.281553822119374075e+01
3.195951980833044992e+00 3.277275379201392003e+00 8.963407246350416080e-02 -1.878837378107602873e+01
3.276224863375707397e+00 3.140007341637140570e+00 7.680023599150390123e-02 -1.920223260237922247e+01
3.274765887205808745e+00 3.081744528020867069e+00 1.559835089523986806e-01 -2.029320119091482866e+01
3.192038880685056590e+00 3.280497394492352559e+00 1.106418617107821079e-01 -1.843615704021302193e+01
3.226167447559538992e+00 3.214748006789490464e+00 7.703230467494583122e-02 -1.866327642561078903e+01
3.346242072452404681e+00 2.966971237247775672e+00 6.706009138613995557e-02 -1.839268224350427516e+01
3.277418562617088416e+00 3.088973444218349407e+00 1.298120181631200187e-01 -1.850226779799641008e+01
3.295489642290227561e+00 3.083200157913887463e+00 5.729380062653555150e-03 -2.033576320524034386e+01
3.333552077482774045e+00 3.002759427995288277e+00 9.535130383878395732e-02 -1.800272414428661705e+01
3.236621643128579251e+00 3.201054188745576567e+00 9.892123124189597383e-02 -1.806639831930355200e+01
3.261778646820256533e+00 3.191930410893662362e+00 9.673760662392796861e-02 -2.071324188073470296e+01
3.320662269160967739e+00 2.981178622371957410e+00 1.034229645657210872e-01 -1.937710244437606733e+01
3.312222301229971855e+00 3.012942261065965077e+00 1.340092068530832070e-01 -1.902987817116192204e+01
3.251532346445505706e+00 3.146432924265056830e+00 1.258836470599298263e-01 -1.824764049939173560e+01
3.422304943181959214e+00 2.854651686277082767e+00 1.130287644300669025e-01 -2.123115535089527128e+01
3.209034208399795585e+00 3.259098659601201486e+00 9.422979429758789049e-02 -1.856269856978491362e+01
3.392401511721193419e+00 2.871169417242069422e+00 1.053741752619683225e-01 -1.876607126736893960e+01
3.162097144249511160e+00 3.375238001032240476e+00 9.797645550937809922e-02 -2.041181497797784772e+01
3.323132466724191936e+00 3.008510168388930150e+00 9.140770342468276799e-02 -1.789291758913798347e+01
3.226221804908544932e+00 3.178809253738911877e+00 8.644819878393461554e-02 -1.957561747671670815e+01
3.300447769917313146e+00 3.043602315751203324e+00 6.592229523657092138e-02 -1.859743644060949919e+01
3.272295531951816105e+00 3.160017326140210248e+00 1.444002852631907918e-01 -2.001537573347645704e+01
3.370430076822539256e+00 2.920743429167081295e+00 6.872767750964073330e-02 -1.860702831764481502e+01
3.245398086833863438e+00 3.165937836914158421e+00 1.204788491374044618e-01 -1.799880036952726670e+01
