# slope intercept sigma lnLike
3.609656043452108776e+00 1.179889890433353683e+00 7.457875346774663072e-02 -4.773811749285147066e+00
3.608250880747247979e+00 1.205657812263648987e+00 5.530510905591973225e-02 -6.198417768977773079e+00
3.547462409199314326e+00 1.333057002849889816e+00 9.550952814617579001e-02 -4.189697717539757171e+00
3.609718067328870461e+00 1.137670724568284442e+00 1.127347956684106312e-01 -6.639039399672933328e+00
3.539733113659314867e+00 1.336130619371752593e+00 9.673962115834491837e-02 -4.204059716045946082e+00
3.329861166090176905e+00 1.845416418354822508e+00 8.731031095503807848e-02 -7.501961624381470628e+00
3.559944210120583818e+00 1.309289904482955347e+00 1.340518942621014564e-01 -5.996628782065780428e+00
3.434533312431444330e+00 1.617050981052349901e+00 1.235881864030814181e-01 -5.611213476488655871e+00
3.502278277840697118e+00 1.434112796326240558e+00 2.514304836358298434e-02 -6.833198910155570793e+00
3.584849624728363882e+00 1.244321459880109559e+00 9.942798266069588498e-02 -4.563886374867323958e+00
3.427897289662948044e+00 1.606773302449325591e+00 8.996255228872637733e-02 -4.902409547240409005e+00
3.607530600739924598e+00 1.177166989560376686e+00 9.700175080645531689e-02 -4.739842086387373143e+00
3.601977490803210280e+00 1.204304339680096980e+00 9.003016007721308112e-02 -4.677887233578603698e+00
3.685535314841668963e+00 9.791149771448627304e-01 8.149588568133271649e-02 -6.381585240513819812e+00
3.515073367205685084e+00 1.396035337045348879e+00 9.646187932644753604e-02 -4.158058356696774815e+00
3.599643464735925669e+00 1.207950392790952288e+00 7.808944898879734142e-02 -4.650798367538426348e+00
3.646752871954615394e+00 1.064508778407925904e+00 8.257557499619137820e-02 -5.849756237233541434e+00
3.681877063040308595e+00 1.011620838011466406e+00 8.815723449078786966e-02 -6.195192087678281112e+00
3.562530772365075649e+00 1.259187000852973526e+00 1.395939291622538270e-01 -6.964951787907870617e+00
3.482826045310944973e+00 1.471592027964046867e+00 8.061530904504121686e-02 -4.453561934196231142e+00
3.676641198820224332e+00 1.021482360588169991e+00 3.778888838985254572e-02 -7.246376387999082347e+00
3.593049547817672718e+00 1.226205591046363619e+00 1.403266139701294102e-01 -6.748868265282418122e+00
3.505307059101249845e+00 1.425444864734778605e+00 7.902571161971264080e-02 -4.213525827473908691e+00
3.661119882052407348e+00 1.048426246581820820e+00 8.018009010769899803e-02 -5.611428258775001510e+00
